time,tl_id,chosen_action,pressure,upstream_sum,active_veh
1116.0,J3,1,1,1,30
1116.0,J4,1,1,1,30
1121.0,J1,0,2,2,34
1121.0,J2,1,4,4,34
1121.0,J3,1,1,1,34
1121.0,J4,3,2,2,34
1126.0,J1,1,2,2,33
1126.0,J2,1,1,1,33
1126.0,J3,0,2,2,33
1126.0,J4,3,0,0,33
1131.0,J1,1,2,2,32
1131.0,J2,0,2,2,32
1131.0,J3,0,0,0,32
1131.0,J4,0,0,0,32
1136.0,J1,3,2,2,30
1136.0,J2,0,1,1,30
1136.0,J3,0,0,0,30
1136.0,J4,0,0,0,30
1141.0,J1,3,2,2,33
1141.0,J2,2,3,3,33
1141.0,J3,1,2,2,33
1141.0,J4,1,0,1,33
